Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,Rating
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.23,256.78,3/9/2019,Cash,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.07,610.49,3/5/2019,Ewallet,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,Cash,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.28,362.94,3/27/2019,Credit card,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,1/2/2019,Cash,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.10,485.04,2/27/2019,Cash,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199.00,1/23/2019,Cash,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,Ewallet,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,1/10/2019,Ewallet,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.96,608.20,3/12/2019,Credit card,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.49,94.24,2/6/2019,Credit card,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.86,102.02,3/8/2019,Ewallet,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.94,922.64,3/29/2019,Ewallet,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.74,78.44,2/9/2019,Cash,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.91,166.16,3/23/2019,Ewallet,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,Cash,7.4
